row_id,path,sha256,source_id,assignment_type,assignment_confidence,class_name,technical_match_plausible,orientation_projection_notes,border_annotation_notes,reviewer_comment
13896,/kaggle/input/chest-xray-dataset/train/pneumonia/pneumonia-4086.jpg,f9486064138b01c95b4c3f51337e564b2fb76d580e08af6772abff184b5634e3,latent_L1,latent,0.5376457122904897,Pneumonia,,,,
7403,/kaggle/input/chest-xray-dataset/train/pneumonia/pneumonia-1498.jpg,83be2e246cfdeae405ac8c325507bc65f58999739806fc2a62c3d05e74a278ce,latent_L1,latent,0.3315939118978767,Pneumonia,,,,
10107,/kaggle/input/chest-xray-dataset/train/pneumonia/pneumonia-1520.jpg,b41d9254ec616d694bc423d46f0e7bc08a30b226de03a7c40079d39b90ea254c,latent_L1,latent,0.3966991287403536,Pneumonia,,,,
8544,/kaggle/input/chest-xray-dataset/val/tuberculosis/tuberculosis-10394.jpg,984ffeb99941861f841efcdfc640df28387942faa13e38ffd60089bc3adb1065,latent_L2,latent,0.30748338542923426,Tuberculosis,,,,
9615,/kaggle/input/chest-xray-dataset/val/tuberculosis/tuberculosis-10507.jpg,abb650b265396aece5762267d7f105d44509e22ede530acf56904fd74c8098df,latent_L2,latent,0.23570301981066022,Tuberculosis,,,,
11279,/kaggle/input/chest-xray-dataset/test/normal/normal-860.jpg,c971dee16c15ab83fe5b0c88330efa5ee61be71521e7f055e346e93deb97ce52,latent_L2,latent,0.05298588361471346,Normal,,,,
12056,/kaggle/input/chest-xray-dataset/val/normal/normal-8233.jpg,d8085c3146c6346ce76656289fde0b702b6c1c5b6fcf56f7be21f5c361efe342,latent_L2,latent,0.05314120209726403,Normal,,,,
2676,/kaggle/input/chest-xray-dataset/train/tuberculosis/tuberculosis-1484.jpg,302698382399515b08d4443c63dd574e3521c8d28150482cf27487c3b4db210a,latent_L2,latent,0.544803786685595,Tuberculosis,,,,
5611,/kaggle/input/chest-xray-dataset/train/tuberculosis/tuberculosis-1475.jpg,63ff5e6d8a644ef3eca88fd425f4280d39a22b1d095d022561278de806dd7562,latent_L2,latent,0.4845075414959922,Tuberculosis,,,,
9277,/kaggle/input/chest-xray-dataset/train/tuberculosis/tuberculosis-3156.jpg,a56d79ce0ae4ed462177df0726a251c15551af4465854769b618c0dfc421df64,latent_L2,latent,0.4727168172550762,Tuberculosis,,,,
6526,/kaggle/input/chest-xray-dataset/train/tuberculosis/tuberculosis-7699.jpg,7493495d6e7cdc4dddb657c3c2d9d9b7ee3e97e1a3a6a590199fcc163abfebbd,latent_L2,latent,0.5747223846202436,Tuberculosis,,,,
2884,/kaggle/input/chest-xray-dataset/train/tuberculosis/tuberculosis-5777.jpg,33a664ed7193c96b2d4e4cfe689976482d6c0dba2853332824aff4e45dbc4d2b,latent_L2,latent,0.4281608390508388,Tuberculosis,,,,
7831,/kaggle/input/chest-xray-dataset/train/tuberculosis/tuberculosis-1299.jpg,8b90eac2d4df6495c243cab6c51cacfd886fd2f9a6debcef7bac65fab7203c9c,latent_L2,latent,0.1685869481623572,Tuberculosis,,,,
7925,/kaggle/input/chest-xray-dataset/train/tuberculosis/tuberculosis-6551.jpg,8d1dca8585655dff70516a0c71395340e35f0a8f9d081f87cc60f0b1ee83e76b,latent_L2,latent,0.5102209276711025,Tuberculosis,,,,
13216,/kaggle/input/chest-xray-dataset/train/tuberculosis/tuberculosis-4197.jpg,ec57737d6abf0c93cfa3b3591a8a9e2725c8b7f4e1a6651ca3505284252a748b,latent_L2,latent,0.38167926288896115,Tuberculosis,,,,
13542,/kaggle/input/chest-xray-dataset/train/tuberculosis/tuberculosis-4797.jpg,f2bc557678f4dd249958289e2ef98dbc742eb5f772324ad0c02254abcf6a0ed6,latent_L2,latent,0.4697087948428712,Tuberculosis,,,,
3716,/kaggle/input/chest-xray-dataset/val/pneumonia/pneumonia-5587.jpg,423d724674115e389f955c45e7d790f978a16675ce076ddf947ff4286390bda8,latent_L2,latent,0.034987670555675865,Pneumonia,,,,
5939,/kaggle/input/chest-xray-dataset/test/tuberculosis/tuberculosis-837.jpg,6a1d4b2a6344e5d514a677d564ec962ca2d50b3d93beedd662eac4e2f1351b0e,latent_L2,latent,0.5201808519688822,Tuberculosis,,,,
1037,/kaggle/input/chest-xray-dataset/train/tuberculosis/tuberculosis-7331.jpg,12de58139610dfd81e122111c5efa86e82e476cbe05faef2217c73978f9949ba,latent_L2,latent,0.6041944848446898,Tuberculosis,,,,
8964,/kaggle/input/chest-xray-dataset/train/tuberculosis/tuberculosis-2463.jpg,9f69d548c921439e9c6e36569f99d867e020d333e09e31f170326967aa267916,latent_L2,latent,0.45423931284811425,Tuberculosis,,,,
3722,/kaggle/input/chest-xray-dataset/val/normal/normal-8375.jpg,425a5bab067da4d0d9d5ba30db0929b519ef155b9b7b9ee54439bcab060f5be3,latent_L2,latent,0.21629533619409458,Normal,,,,
6276,/kaggle/input/chest-xray-dataset/train/tuberculosis/tuberculosis-2630.jpg,7077ce3e631bea830940d99c35d897c3ee272c00fe2d0c8a9258bb6e84914bb0,latent_L2,latent,0.43092882871020466,Tuberculosis,,,,
9643,/kaggle/input/chest-xray-dataset/val/tuberculosis/tuberculosis-9595.jpg,ac32e8c701b47cfc9d68ec805790372f3583de4ca679107fa137772b6bd1e07f,latent_L2,latent,0.22227107272614455,Tuberculosis,,,,
